08-21,297.46,299.26
08-22,237.95,299.26
08-23,237.85,239.41
08-24,297.32,179.55
08-25,356.79,119.71
08-26,356.76,59.88
08-27,356.74,
08-28,297.31,
08-29,356.73,59.83
08-30,356.66,119.62
08-31,356.68,179.41
09-01,356.68,179.41
09-02,356.69,179.41
09-03,356.43,179.41
09-04,415.88,179.41
09-05,415.78,119.57
09-06,415.74,119.55
09-07,415.64,119.51
09-08,415.57,179.28
09-09,415.52,179.28
09-10,415.83,179.28
09-11,356.39,179.28
09-12,356.44,239.01
09-13,297.04,179.26
09-14,237.66,119.51
09-15,237.67,59.74
09-16,237.61,119.52
09-17,237.50,179.32
09-18,296.89,179.32
09-19,296.93,119.58
09-20,356.35,179.20
09-21,415.66,238.82
09-22,415.43,238.82
09-23,415.28,179.03
09-24,355.93,178.97
09-25,355.87,238.69
09-26,355.71,298.41
09-27,355.56,298.52
09-28,355.57,298.61
09-29,355.71,358.27
09-30,355.84,417.97
10-01,415.21,417.93
10-02,415.18,417.86
10-03,415.17,417.89
10-04,415.12,417.90
10-05,415.03,417.91
10-06,414.93,417.99
10-07,414.88,417.98
10-08,414.80,418.04
10-09,414.76,418.12
10-10,414.79,358.37
10-11,414.85,298.62
10-12,414.91,298.67
10-13,414.98,298.72
10-14,415.02,239.01
10-15,415.10,179.27
10-16,415.19,179.46
10-17,415.25,239.33
10-18,415.31,299.21
10-19,415.37,299.33
10-20,415.44,299.35
10-21,415.50,299.35
10-22,415.51,299.35
10-23,415.53,299.25
10-24,415.60,239.38
10-25,415.60,179.49
10-26,415.68,119.61
10-27,415.83,59.80
10-28,415.87,59.80
10-29,415.90,59.80
10-30,415.99,
10-31,415.99,
11-01,416.07,
11-02,416.09,
11-03,416.02,
11-04,416.06,
11-05,416.15,
11-06,416.16,
11-07,416.23,
11-08,416.30,
11-09,416.32,
11-10,416.37,
11-11,356.90,
11-12,356.98,
11-13,357.04,
11-14,357.21,
11-15,357.26,
11-16,357.34,
11-17,357.38,
11-18,416.91,
11-19,416.96,
11-20,417.11,
11-21,417.16,
11-22,417.41,
11-23,417.65,
11-24,417.91,
11-25,418.07,
11-26,418.11,
11-27,417.96,
11-28,417.84,
11-29,358.05,
11-30,298.27,
12-01,238.47,
12-02,178.78,
12-03,119.12,
12-04,59.57,
12-05,0.00,
12-06,0.00,
12-07,0.00,
12-08,0.00,
12-09,0.00,
12-10,0.00,
12-11,0.00,
12-12,0.00,
12-13,0.00,
12-14,59.78,
12-15,119.58,
12-16,179.34,
12-17,239.08,
12-18,298.73,
12-19,298.73,
12-20,358.55,
12-21,358.64,
12-22,358.74,
12-23,358.86,
12-24,299.12,
12-25,239.47,
12-26,299.38,
12-27,299.42,
12-28,299.41,
12-29,299.40,
12-30,299.37,
12-31,359.26,
