Data,2023,Media 1981-2010
2023-01-01,-3.393,0
2023-01-02,-3.427,0
2023-01-03,-3.433,0
2023-01-04,-3.423,0
2023-01-05,-3.413,0
2023-01-06,-3.387,0
2023-01-07,-3.349,0
2023-01-08,-3.266,0
2023-01-09,-3.198,0
2023-01-10,-3.113,0
2023-01-11,-3.039,0
2023-01-12,-2.974,0
2023-01-13,-2.905,0
2023-01-14,-2.818,0
2023-01-15,-2.754,0
2023-01-16,-2.686,0
2023-01-17,-2.625,0
2023-01-18,-2.625,0
2023-01-19,-2.613,0
2023-01-20,-2.618,0
2023-01-21,-2.617,0
2023-01-22,-2.614,0
2023-01-23,-2.589,0
2023-01-24,-2.579,0
2023-01-25,-2.531,0
2023-01-26,-2.513,0
2023-01-27,-2.526,0
2023-01-28,-2.573,0
2023-01-29,-2.597,0
2023-01-30,-2.653,0
2023-01-31,-2.698,0
2023-02-01,-2.695,0
2023-02-02,-2.640,0
2023-02-03,-2.603,0
2023-02-04,-2.547,0
2023-02-05,-2.481,0
2023-02-06,-2.425,0
2023-02-07,-2.380,0
2023-02-08,-2.358,0
2023-02-09,-2.339,0
2023-02-10,-2.348,0
2023-02-11,-2.342,0
2023-02-12,-2.365,0
2023-02-13,-2.352,0
2023-02-14,-2.302,0
2023-02-15,-2.240,0
2023-02-16,-2.170,0
2023-02-17,-2.127,0
2023-02-18,-2.125,0
2023-02-19,-2.166,0
2023-02-20,-2.176,0
2023-02-21,-2.211,0
2023-02-22,-2.212,0
2023-02-23,-2.193,0
2023-02-24,-2.179,0
2023-02-25,-2.203,0
2023-02-26,-2.211,0
2023-02-27,-2.208,0
2023-02-28,-2.216,0
2023-03-01,-2.192,0
2023-03-02,-2.148,0
2023-03-03,-2.128,0
2023-03-04,-2.120,0
2023-03-05,-2.111,0
2023-03-06,-2.125,0
2023-03-07,-2.130,0
2023-03-08,-2.118,0
2023-03-09,-2.097,0
2023-03-10,-2.106,0
2023-03-11,-2.143,0
2023-03-12,-2.190,0
2023-03-13,-2.244,0
2023-03-14,-2.325,0
2023-03-15,-2.367,0
2023-03-16,-2.384,0
2023-03-17,-2.404,0
2023-03-18,-2.415,0
2023-03-19,-2.400,0
2023-03-20,-2.381,0
2023-03-21,-2.395,0
2023-03-22,-2.388,0
2023-03-23,-2.356,0
2023-03-24,-2.290,0
2023-03-25,-2.240,0
2023-03-26,-2.154,0
2023-03-27,-2.098,0
2023-03-28,-2.074,0
2023-03-29,-2.106,0
2023-03-30,-2.123,0
2023-03-31,-2.141,0
2023-04-01,-2.142,0
2023-04-02,-2.131,0
2023-04-03,-2.089,0
2023-04-04,-2.073,0
2023-04-05,-2.065,0
2023-04-06,-2.075,0
2023-04-07,-2.062,0
2023-04-08,-2.061,0
2023-04-09,-2.065,0
2023-04-10,-2.038,0
2023-04-11,-1.997,0
2023-04-12,-1.988,0
2023-04-13,-1.976,0
2023-04-14,-1.968,0
2023-04-15,-1.957,0
2023-04-16,-1.954,0
2023-04-17,-1.981,0
2023-04-18,-1.983,0
2023-04-19,-1.987,0
2023-04-20,-2.020,0
2023-04-21,-2.068,0
2023-04-22,-2.079,0
2023-04-23,-2.094,0
2023-04-24,-2.106,0
2023-04-25,-2.100,0
2023-04-26,-2.094,0
2023-04-27,-2.112,0
2023-04-28,-2.142,0
2023-04-29,-2.161,0
2023-04-30,-2.178,0
2023-05-01,-2.196,0
2023-05-02,-2.179,0
2023-05-03,-2.158,0
2023-05-04,-2.134,0
2023-05-05,-2.131,0
2023-05-06,-2.112,0
2023-05-07,-2.117,0
2023-05-08,-2.125,0
2023-05-09,-2.128,0
2023-05-10,-2.125,0
2023-05-11,-2.120,0
2023-05-12,-2.112,0
2023-05-13,-2.096,0
2023-05-14,-2.090,0
2023-05-15,-2.097,0
2023-05-16,-2.103,0
2023-05-17,-2.142,0
2023-05-18,-2.203,0
2023-05-19,-2.238,0
2023-05-20,-2.261,0
2023-05-21,-2.286,0
2023-05-22,-2.275,0
2023-05-23,-2.261,0
2023-05-24,-2.261,0
2023-05-25,-2.279,0
2023-05-26,-2.327,0
2023-05-27,-2.400,0
2023-05-28,-2.467,0
2023-05-29,-2.545,0
2023-05-30,-2.586,0
2023-05-31,-2.604,0
2023-06-01,-2.602,0
2023-06-02,-2.606,0
2023-06-03,-2.596,0
2023-06-04,-2.579,0
2023-06-05,-2.588,0
2023-06-06,-2.599,0
2023-06-07,-2.624,0
2023-06-08,-2.649,0
2023-06-09,-2.703,0
2023-06-10,-2.750,0
2023-06-11,-2.786,0
2023-06-12,-2.829,0
2023-06-13,-2.899,0
2023-06-14,-2.966,0
2023-06-15,-3.060,0
2023-06-16,-3.129,0
2023-06-17,-3.154,0
2023-06-18,-3.159,0
2023-06-19,-3.160,0
2023-06-20,-3.176,0
2023-06-21,-3.208,0
2023-06-22,-3.259,0
2023-06-23,-3.336,0
2023-06-24,-3.398,0
2023-06-25,-3.437,0
2023-06-26,-3.493,0
2023-06-27,-3.572,0
2023-06-28,-3.651,0
2023-06-29,-3.732,0
2023-06-30,-3.783,0
2023-07-01,-3.793,0
2023-07-02,-3.791,0
2023-07-03,-3.791,0
2023-07-04,-3.806,0
2023-07-05,-3.849,0
2023-07-06,-3.911,0
2023-07-07,-3.956,0
2023-07-08,-3.960,0
2023-07-09,-3.917,0
2023-07-10,-3.866,0
2023-07-11,-3.819,0
2023-07-12,-3.799,0
2023-07-13,-3.809,0
2023-07-14,-3.834,0
2023-07-15,-3.843,0
2023-07-16,-3.826,0
2023-07-17,-3.776,0
2023-07-18,-3.709,0
2023-07-19,-3.666,0
2023-07-20,-3.658,0
2023-07-21,-3.652,0
2023-07-22,-3.673,0
2023-07-23,-3.722,0
2023-07-24,-3.737,0
2023-07-25,-3.722,0
2023-07-26,-3.724,0
2023-07-27,-3.718,0
2023-07-28,-3.702,0
2023-07-29,-3.655,0
2023-07-30,-3.656,0
2023-07-31,-3.644,0
2023-08-01,-3.629,0
2023-08-02,-3.581,0
2023-08-03,-3.584,0
2023-08-04,-3.591,0
2023-08-05,-3.625,0
2023-08-06,-3.698,0
2023-08-07,-3.803,0
2023-08-08,-3.878,0
2023-08-09,-3.936,0
2023-08-10,-3.976,0
2023-08-11,-3.977,0
2023-08-12,-3.990,0
2023-08-13,-4.038,0
2023-08-14,-4.088,0
2023-08-15,-4.095,0
2023-08-16,-4.062,0
2023-08-17,-4.021,0
2023-08-18,-3.949,0
2023-08-19,-3.867,0
2023-08-20,-3.836,0
2023-08-21,-3.857,0
2023-08-22,-3.867,0
2023-08-23,-3.891,0
2023-08-24,-3.878,0
2023-08-25,-3.874,0
2023-08-26,-3.833,0
2023-08-27,-3.798,0
2023-08-28,-3.767,0
2023-08-29,-3.760,0
2023-08-30,-3.732,0
2023-08-31,-3.713,0
2023-09-01,-3.692,0
2023-09-02,-3.648,0
2023-09-03,-3.593,0
2023-09-04,-3.531,0
2023-09-05,-3.472,0
2023-09-06,-3.402,0
2023-09-07,-3.350,0
2023-09-08,-3.331,0
2023-09-09,-3.348,0
2023-09-10,-3.371,0
2023-09-11,-3.431,0
2023-09-12,-3.471,0
2023-09-13,-3.509,0
2023-09-14,-3.535,0
2023-09-15,-3.573,0
2023-09-16,-3.612,0
2023-09-17,-3.686,0
2023-09-18,-3.737,0
2023-09-19,-3.780,0
2023-09-20,-3.828,0
2023-09-21,-3.861,0
2023-09-22,-3.888,0
2023-09-23,-3.937,0
2023-09-24,-3.996,0
2023-09-25,-4.038,0
2023-09-26,-4.080,0
2023-09-27,-4.098,0
2023-09-28,-4.113,0
2023-09-29,-4.092,0
2023-09-30,-4.074,0
2023-10-01,-4.045,0
2023-10-02,-4.020,0
2023-10-03,-3.994,0
2023-10-04,-4.011,0
2023-10-05,-4.021,0
2023-10-06,-4.062,0
2023-10-07,-4.116,0
2023-10-08,-4.153,0
2023-10-09,-4.166,0
2023-10-10,-4.190,0
2023-10-11,-4.209,0
2023-10-12,-4.249,0
2023-10-13,-4.312,0
2023-10-14,-4.405,0
2023-10-15,-4.463,0
2023-10-16,-4.477,0
2023-10-17,-4.448,0
2023-10-18,-4.344,0
