Data,2024,Media 1981-2010
2024-01-01,6.373,7.353
2024-01-02,6.185,7.167
2024-01-03,6.032,6.984
2024-01-04,5.899,6.808
2024-01-05,5.748,6.634
2024-01-06,5.584,6.463
2024-01-07,5.424,6.302
2024-01-08,5.251,6.146
2024-01-09,5.085,5.991
2024-01-10,4.930,5.841
2024-01-11,4.784,5.697
2024-01-12,4.640,5.557
2024-01-13,4.510,5.426
2024-01-14,4.338,5.277
2024-01-15,4.185,5.160
2024-01-16,4.043,5.045
2024-01-17,3.887,4.932
2024-01-18,3.726,4.822
2024-01-19,3.609,4.717
2024-01-20,3.498,4.617
2024-01-21,3.385,4.522
2024-01-22,3.296,4.427
2024-01-23,3.207,4.335
2024-01-24,3.123,4.246
2024-01-25,NaN,4.159
